# PING	n1.meraki.com
# Started at: 2018-06-03T21:59:37+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
139.589	1528059577689	75577689
138.264	1528059578844	75578844
139.716	1528059580001	75580001
139.838	1528059581156	75581156
138.880	1528059582312	75582312
139.703	1528059583465	75583465
138.954	1528059584617	75584617
248.448	1528059585884	75585884
140.658	1528059587042	75587042
138.844	1528059588197	75588197
140.604	1528059589360	75589360
139.397	1528059590515	75590515
142.033	1528059591674	75591674
140.215	1528059592837	75592837
140.695	1528059593993	75593993
138.576	1528059595151	75595151
139.869	1528059596306	75596306
