# HTTP	https://apple.com
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
762	200	50061	1528829336246	67736246
541	200	50061	1528829346795	67746795
565	200	50061	1528829357363	67757363
551	200	50061	1528829367916	67767916
550	200	50061	1528829378472	67778472
563	200	50061	1528829389040	67789040
604	200	50061	1528829399647	67799647
635	200	50061	1528829410284	67810284
599	200	50061	1528829420884	67820884
579	200	50061	1528829431467	67831467
553	200	50061	1528829442022	67842022
543	200	50061	1528829452570	67852570
575	200	50061	1528829463148	67863148
538	200	50061	1528829473691	67873691
546	200	50061	1528829484241	67884241
566	200	50061	1528829494811	67894811
542	200	50061	1528829505355	67905355
549	200	50061	1528829515911	67915911
571	200	50061	1528829526484	67926484
555	200	50061	1528829537044	67937044
542	200	50061	1528829547589	67947589
628	200	50061	1528829558221	67958221
543	200	50061	1528829568770	67968770
566	200	50061	1528829579339	67979339
541	200	50061	1528829589882	67989882
631	200	50061	1528829600519	68000519
692	200	50061	1528829611213	68011213
607	200	50061	1528829621825	68021825
537	200	50061	1528829632364	68032364
600	200	50061	1528829642968	68042968
557	200	50061	1528829653529	68053529
552	200	50061	1528829664082	68064082
574	200	50061	1528829674666	68074666
544	200	50061	1528829685213	68085213
535	200	50061	1528829695758	68095758
570	200	50061	1528829706332	68106332
529	200	50061	1528829716865	68116865
551	200	50061	1528829727423	68127423
587	200	50061	1528829738017	68138017
623	200	50061	1528829748647	68148647
565	200	50061	1528829759214	68159214
586	200	50061	1528829769809	68169809
535	200	50061	1528829780345	68180345
546	200	50061	1528829790897	68190897
572	200	50061	1528829801476	68201476
543	200	50061	1528829812021	68212021
551	200	50061	1528829822574	68222574
560	200	50061	1528829833136	68233136
546	200	50061	1528829843691	68243691
554	200	50061	1528829854247	68254247
