# HTTP	https://cisco.com
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
884	200	84440	1528829336369	67736369
688	200	84440	1528829347061	67747061
615	200	84440	1528829357695	67757695
654	200	84440	1528829368350	67768350
893	200	84440	1528829379247	67779247
939	200	84440	1528829390189	67790189
638	200	84440	1528829400833	67800833
693	200	84440	1528829411528	67811528
630	200	84440	1528829422162	67822162
690	200	84440	1528829432854	67832854
673	200	84440	1528829443529	67843529
648	200	84440	1528829454181	67854181
652	200	84440	1528829464839	67864839
610	200	84440	1528829475453	67875453
599	200	84440	1528829486058	67886058
665	200	84440	1528829496728	67896728
627	200	84440	1528829507358	67907358
654	200	84440	1528829518018	67918018
640	200	85457	1528829528664	67928664
656	200	84440	1528829539323	67939323
648	200	84440	1528829549975	67949975
772	200	84440	1528829560748	67960748
659	200	84440	1528829571409	67971409
626	200	84440	1528829582040	67982040
716	200	84440	1528829592762	67992762
629	200	84440	1528829603394	68003394
655	200	84440	1528829614054	68014054
623	200	84440	1528829624679	68024679
705	200	84440	1528829635388	68035388
679	200	84440	1528829646071	68046071
619	200	85458	1528829656695	68056695
2250	200	84440	1528829668954	68068954
643	200	84440	1528829679607	68079607
634	200	84440	1528829690251	68090251
608	200	84440	1528829700861	68100861
627	200	84440	1528829711489	68111489
612	200	84440	1528829722109	68122109
624	200	84440	1528829732743	68132743
751	200	84714	1528829743503	68143503
636	200	84714	1528829754148	68154148
657	200	84714	1528829764814	68164814
621	200	84714	1528829775439	68175439
604	200	84714	1528829786044	68186044
663	200	84714	1528829796734	68196734
601	200	84714	1528829807337	68207337
630	200	84714	1528829817970	68217970
644	200	85731	1528829828616	68228616
800	200	84714	1528829839423	68239423
742	200	84714	1528829850167	68250167
635	200	84714	1528829860808	68260808
