# HTTP	https://dropbox.com
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
1163	200	90632	1528829336646	67736646
969	200	90632	1528829347617	67747617
918	200	90878	1528829358542	67758542
1038	200	90628	1528829369581	67769581
1128	200	90632	1528829380710	67780710
1022	200	90864	1528829391738	67791738
970	200	90632	1528829402713	67802713
1018	200	90632	1528829413733	67813733
1037	200	90632	1528829424775	67824775
973	200	90632	1528829435754	67835754
1004	200	90632	1528829446763	67846763
1060	200	90646	1528829457837	67857837
992	200	90632	1528829468835	67868835
1021	200	90632	1528829479858	67879858
999	200	90632	1528829490862	67890862
1131	200	90632	1528829501997	67901997
1000	200	81050	1528829512999	67912999
1047	200	90632	1528829524053	67924053
1102	200	90864	1528829535160	67935160
1215	200	90864	1528829546381	67946381
1119	200	90864	1528829557505	67957505
1050	200	90628	1528829568561	67968561
1126	200	90646	1528829579691	67979691
1035	200	90632	1528829590731	67990731
965	200	90632	1528829601699	68001699
981	200	90632	1528829612682	68012682
1006	200	90624	1528829623691	68023691
960	200	90632	1528829634657	68034657
1087	200	90646	1528829645748	68045748
936	200	90874	1528829656688	68056688
1217	200	90632	1528829667911	68067911
1101	200	90632	1528829679019	68079019
1003	200	90632	1528829690025	68090025
977	200	90646	1528829701003	68101003
1161	200	90632	1528829712164	68112164
1083	200	90632	1528829723262	68123262
980	200	90632	1528829734247	68134247
983	200	90632	1528829745237	68145237
997	200	90864	1528829756238	68156238
1019	200	90646	1528829767259	68167259
1004	200	90632	1528829778272	68178272
1618	200	90632	1528829789900	68189900
1055	200	90864	1528829800959	68200959
1032	200	90628	1528829812002	68212002
1061	200	90632	1528829823067	68223067
1035	200	90624	1528829834104	68234104
1167	200	90864	1528829845282	68245282
1016	200	90632	1528829856303	68256303
1053	200	90632	1528829867362	68267362
989	200	90632	1528829878356	68278356
