# HTTP	https://facebook.com
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
765	200	447815	1528829336239	67736239
743	200	447462	1528829346985	67746985
1858	200	447237	1528829358849	67758849
620	200	447479	1528829369473	67769473
693	200	447504	1528829380168	67780168
628	200	447788	1528829390802	67790802
1178	200	447781	1528829401982	67801982
678	200	447446	1528829412667	67812667
658	200	447754	1528829423327	67823327
652	200	447780	1528829433983	67833983
519	200	447806	1528829444507	67844507
569	200	447777	1528829455081	67855081
583	200	447506	1528829465670	67865670
1425	200	447503	1528829477099	67877099
545	200	447561	1528829487651	67887651
674	200	447754	1528829498327	67898327
1321	200	447518	1528829509654	67909654
688	200	447819	1528829520345	67920345
536	200	447424	1528829530884	67930884
687	200	447741	1528829541572	67941572
651	200	447787	1528829552226	67952226
539	200	447455	1528829562768	67962768
788	200	447820	1528829573557	67973557
847	200	447450	1528829584408	67984408
558	200	447852	1528829594968	67994968
499	200	447512	1528829605471	68005471
592	200	447425	1528829616070	68016070
620	200	447817	1528829626696	68026696
606	200	447500	1528829637304	68037304
588	200	447213	1528829647895	68047895
633	200	447746	1528829658532	68058532
608	200	447485	1528829669142	68069142
459	200	447744	1528829679605	68079605
605	200	447516	1528829690213	68090213
1271	200	447823	1528829701491	68101491
569	200	447487	1528829712082	68112082
1710	200	447506	1528829723800	68123800
596	200	447751	1528829734403	68134403
464	200	447514	1528829744875	68144875
662	200	447742	1528829755546	68155546
496	200	447462	1528829766046	68166046
646	200	447503	1528829776696	68176696
1748	200	447518	1528829788448	68188448
686	200	447548	1528829799138	68199138
902	200	447582	1528829810050	68210050
561	200	447430	1528829820625	68220625
573	200	447438	1528829831208	68231208
606	200	447515	1528829841824	68241824
587	200	447430	1528829852415	68252415
571	200	447476	1528829862992	68262992
