# HTTP	https://google.com
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
426	200	11704	1528829335893	67735893
244	200	11752	1528829346146	67746146
190	200	11708	1528829356339	67756339
227	200	11696	1528829366577	67766577
213	200	11718	1528829376792	67776792
204	200	11698	1528829386998	67786998
215	200	11703	1528829397217	67797217
380	200	11694	1528829407604	67807604
200	200	11666	1528829417804	67817804
212	200	11682	1528829428018	67828018
366	200	11707	1528829438388	67838388
218	200	11717	1528829448611	67848611
376	200	11689	1528829458991	67858991
222	200	11709	1528829469214	67869214
201	200	11693	1528829479420	67879420
212	200	11660	1528829489634	67889634
318	200	11714	1528829499957	67899957
211	200	11721	1528829510169	67910169
229	200	11695	1528829520403	67920403
229	200	11679	1528829530637	67930637
207	200	11690	1528829540848	67940848
219	200	11674	1528829551073	67951073
227	200	11690	1528829561304	67961304
208	200	11693	1528829571517	67971517
279	200	11744	1528829581797	67981797
205	200	11658	1528829592006	67992006
208	200	11749	1528829602215	68002215
204	200	11676	1528829612425	68012425
216	200	11688	1528829622645	68022645
234	200	11712	1528829632881	68032881
408	200	11714	1528829643292	68043292
205	200	11729	1528829653500	68053500
602	200	11688	1528829664104	68064104
232	200	11712	1528829674337	68074337
234	200	11731	1528829684572	68084572
219	200	11738	1528829694801	68094801
223	200	11708	1528829705035	68105035
219	200	11702	1528829715260	68115260
205	200	11735	1528829725476	68125476
207	200	11698	1528829735691	68135691
210	200	11683	1528829745904	68145904
218	200	11675	1528829756132	68156132
208	200	11699	1528829766342	68166342
221	200	11789	1528829776567	68176567
228	200	11688	1528829786801	68186801
228	200	11698	1528829797033	68197033
212	200	11711	1528829807249	68207249
215	200	11704	1528829817469	68217469
242	200	11702	1528829827716	68227716
212	200	11684	1528829837929	68237929
