# HTTP	https://nintendo.com
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
1610	200	52982	1528829337095	67737095
1403	200	52982	1528829348499	67748499
1391	200	52982	1528829359891	67759891
1380	200	52982	1528829371273	67771273
-1	1	0	1528829381641	67781641
-1	1	0	1528829392030	67792030
-1	1	0	1528829402406	67802406
-1	1	0	1528829412787	67812787
-1	1	0	1528829423273	67823273
-1	1	0	1528829433694	67833694
-1	1	0	1528829444069	67844069
-1	1	0	1528829454483	67854483
-1	1	0	1528829464857	67864857
-1	1	0	1528829475228	67875228
-1	1	0	1528829485605	67885605
-1	1	0	1528829495978	67895978
-1	1	0	1528829506371	67906371
-1	1	0	1528829516741	67916741
-1	1	0	1528829527112	67927112
-1	1	0	1528829537779	67937779
-1	1	0	1528829548543	67948543
-1	1	0	1528829559215	67959215
-1	1	0	1528829569916	67969916
-1	1	0	1528829580610	67980610
-1	1	0	1528829591281	67991281
-1	1	0	1528829601938	68001938
-1	1	0	1528829612592	68012592
-1	1	0	1528829623260	68023260
-1	1	0	1528829633927	68033927
-1	1	0	1528829644590	68044590
-1	1	0	1528829655267	68055267
-1	1	0	1528829665915	68065915
-1	1	0	1528829676576	68076576
-1	1	0	1528829687282	68087282
-1	1	0	1528829698011	68098011
-1	1	0	1528829708683	68108683
-1	1	0	1528829719363	68119363
-1	1	0	1528829730029	68130029
-1	1	0	1528829740689	68140689
-1	1	0	1528829751326	68151326
-1	1	0	1528829762018	68162018
-1	1	0	1528829772653	68172653
-1	1	0	1528829783083	68183083
-1	1	0	1528829793497	68193497
-1	1	0	1528829803962	68203962
-1	1	0	1528829814428	68214428
-1	1	0	1528829824888	68224888
-1	1	0	1528829835315	68235315
-1	1	0	1528829845798	68245798
-1	1	0	1528829856266	68256266
