# HTTP	https://ruby-doc.org
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
631	200	22789	1528829336114	67736114
515	200	22789	1528829346634	67746634
681	200	22789	1528829357317	67757317
528	200	22789	1528829367849	67767849
518	200	22789	1528829378368	67778368
513	200	22789	1528829388886	67788886
525	200	22789	1528829399415	67799415
505	200	22789	1528829409922	67809922
517	200	22789	1528829420441	67820441
518	200	22789	1528829430960	67830960
875	200	22789	1528829441840	67841840
505	200	22789	1528829452349	67852349
499	200	22789	1528829462850	67862850
522	200	22789	1528829473377	67873377
514	200	22789	1528829483895	67883895
507	200	22789	1528829494405	67894405
530	200	22789	1528829504939	67904939
552	200	22789	1528829515496	67915496
508	200	22789	1528829526006	67926006
499	200	22789	1528829536507	67936507
513	200	22789	1528829547023	67947023
510	200	22789	1528829557536	67957536
1497	200	22789	1528829569037	67969037
508	200	22789	1528829579547	67979547
623	200	22789	1528829590171	67990171
538	200	22789	1528829600711	68000711
571	200	22789	1528829611288	68011288
560	200	22789	1528829621853	68021853
513	200	22789	1528829632372	68032372
492	200	22789	1528829642870	68042870
507	200	22789	1528829653383	68053383
523	200	22789	1528829663909	68063909
531	200	22789	1528829674445	68074445
507	200	22789	1528829684955	68084955
509	200	22789	1528829695465	68095465
794	200	22789	1528829706264	68106264
503	200	22789	1528829716775	68116775
500	200	22789	1528829727275	68127275
515	200	22789	1528829737792	68137792
552	200	22789	1528829748346	68148346
538	200	22789	1528829758886	68158886
506	200	22789	1528829769399	68169399
508	200	22789	1528829779912	68179912
2471	200	22789	1528829792392	68192392
514	200	22789	1528829802909	68202909
517	200	22789	1528829813436	68213436
515	200	22789	1528829823962	68223962
533	200	22789	1528829834498	68234498
532	200	22789	1528829845036	68245036
521	200	22789	1528829855558	68255558
