# HTTP	https://twitch.tv
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
401	200	29286	1528829335885	67735885
212	200	29286	1528829346102	67746102
148	200	29286	1528829356256	67756256
170	200	29286	1528829366429	67766429
172	200	29286	1528829376606	67776606
176	200	29286	1528829386786	67786786
161	200	29286	1528829396950	67796950
161	200	29286	1528829407113	67807113
246	200	29286	1528829417361	67817361
183	200	29286	1528829427549	67827549
153	200	29286	1528829437705	67837705
159	200	29286	1528829447868	67847868
156	200	29286	1528829458028	67858028
155	200	29286	1528829468184	67868184
149	200	29286	1528829478334	67878334
162	200	29286	1528829488499	67888499
249	200	29286	1528829498750	67898750
152	200	29286	1528829508907	67908907
152	200	29286	1528829519061	67919061
158	200	29286	1528829529224	67929224
154	200	29286	1528829539390	67939390
156	200	29286	1528829549547	67949547
148	200	29286	1528829559697	67959697
155	200	29286	1528829569855	67969855
170	200	29286	1528829580028	67980028
177	200	29286	1528829590209	67990209
167	200	29286	1528829600380	68000380
163	200	29286	1528829610547	68010547
156	200	29286	1528829620706	68020706
164	200	29286	1528829630873	68030873
155	200	29286	1528829641032	68041032
155	200	29286	1528829651188	68051188
158	200	29286	1528829661348	68061348
177	200	29286	1528829671531	68071531
151	200	29286	1528829681684	68081684
270	200	29286	1528829691961	68091961
155	200	29286	1528829702117	68102117
164	200	29286	1528829712288	68112288
158	200	29286	1528829722450	68122450
150	200	29286	1528829732604	68132604
156	200	29286	1528829742767	68142767
247	200	29286	1528829753024	68153024
189	200	29286	1528829763215	68163215
385	200	29286	1528829773608	68173608
500	200	29286	1528829784112	68184112
153	200	29286	1528829794271	68194271
182	200	29286	1528829804461	68204461
158	200	29286	1528829814620	68214620
184	200	29286	1528829824814	68224814
166	200	29286	1528829834987	68234987
