# HTTP	https://yahoo.com
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
1189	200	398335	1528829336668	67736668
1004	200	398765	1528829347675	67747675
951	200	398876	1528829358630	67758630
982	200	398193	1528829369618	67769618
984	200	397800	1528829380608	67780608
1023	200	399101	1528829391637	67791637
984	200	398420	1528829402625	67802625
994	200	398477	1528829413623	67813623
889	200	399704	1528829424517	67824517
933	200	399033	1528829435455	67835455
898	200	398466	1528829446360	67846360
1029	200	398438	1528829457391	67857391
946	200	399580	1528829468343	67868343
941	200	399163	1528829479286	67879286
922	200	398880	1528829490212	67890212
1118	200	398236	1528829501331	67901331
927	200	398824	1528829512263	67912263
979	200	398628	1528829523248	67923248
969	200	399045	1528829534219	67934219
932	200	398756	1528829545158	67945158
1045	200	399455	1528829556209	67956209
953	200	398933	1528829567164	67967164
964	200	398936	1528829578134	67978134
897	200	398863	1528829589037	67989037
952	200	398505	1528829599996	67999996
1252	200	399045	1528829611256	68011256
1016	200	399141	1528829622274	68022274
895	200	399254	1528829633175	68033175
972	200	399239	1528829644152	68044152
971	200	398904	1528829655127	68055127
932	200	398424	1528829666065	68066065
1013	200	398300	1528829677089	68077089
963	200	398342	1528829688064	68088064
929	200	398808	1528829698994	68098994
988	200	399401	1528829709987	68109987
942	200	398286	1528829720935	68120935
933	200	399346	1528829731875	68131875
940	200	398879	1528829742820	68142820
1090	200	399495	1528829753920	68153920
996	200	399084	1528829764927	68164927
904	200	398923	1528829775837	68175837
928	200	399179	1528829786776	68186776
998	200	399045	1528829797803	68197803
1007	200	398357	1528829808813	68208813
1541	200	398944	1528829820367	68220367
1024	200	398946	1528829831394	68231394
910	200	399004	1528829842313	68242313
980	200	399112	1528829853302	68253302
1362	200	399140	1528829864670	68264670
935	200	397963	1528829875614	68275614
