# HTTP	https://youtube.com
# Started at: 2018-06-12T19:48:55+01:00
# duration(ms)	code	size(Bytes)	epoch(ms)	timeFromDayStart(ms)
1208	200	460985	1528829336676	67736676
1215	200	479998	1528829347897	67747897
987	200	445529	1528829358888	67758888
1025	200	476908	1528829369914	67769914
1205	200	460949	1528829381122	67781122
1162	200	496428	1528829392295	67792295
941	200	429964	1528829403239	67803239
1035	200	461379	1528829414286	67814286
1185	200	494487	1528829425474	67825474
1076	200	479877	1528829436555	67836555
1018	200	481965	1528829447577	67847577
1055	200	494917	1528829458636	67858636
1256	200	470307	1528829469900	67869900
1323	200	479764	1528829481226	67881226
1101	200	452842	1528829492329	67892329
1335	200	460466	1528829503671	67903671
1282	200	456292	1528829514957	67914957
1280	200	491104	1528829526242	67926242
988	200	436974	1528829537232	67937232
909	200	452914	1528829548147	67948147
1012	200	452606	1528829559162	67959162
1163	200	445284	1528829570332	67970332
1264	200	456683	1528829581602	67981602
1075	200	456123	1528829592679	67992679
1156	200	460752	1528829603837	68003837
954	200	445535	1528829614794	68014794
1060	200	486933	1528829625859	68025859
1157	200	449080	1528829637022	68037022
1192	200	491358	1528829648217	68048217
1537	200	500033	1528829659756	68059756
1361	200	472655	1528829671120	68071120
1330	200	456121	1528829682459	68082459
1070	200	453247	1528829693534	68093534
1118	200	468249	1528829704663	68104663
1143	200	476059	1528829715814	68115814
1024	200	475765	1528829726849	68126849
1053	200	410208	1528829737904	68137904
1126	200	441135	1528829749037	68149037
1073	200	468182	1528829760118	68160118
1077	200	484226	1528829771200	68171200
1316	200	495506	1528829782524	68182524
1380	200	441213	1528829793912	68193912
1336	200	394184	1528829805257	68205257
1089	200	453039	1528829816350	68216350
1056	200	453159	1528829827409	68227409
1223	200	452967	1528829838640	68238640
1087	200	488019	1528829849729	68249729
1374	200	491751	1528829861108	68261108
1115	200	491429	1528829872233	68272233
1008	200	456866	1528829883244	68283244
