# PING	apple.com
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
-1	1528829339879	67739879
-1	1528829350895	67750895
-1	1528829361912	67761912
-1	1528829372929	67772929
-1	1528829383945	67783945
-1	1528829394962	67794962
-1	1528829405976	67805976
-1	1528829417000	67817000
-1	1528829428018	67828018
-1	1528829439097	67839097
-1	1528829450109	67850109
-1	1528829461135	67861135
-1	1528829472153	67872153
-1	1528829483171	67883171
-1	1528829494189	67894189
-1	1528829505206	67905206
-1	1528829516222	67916222
-1	1528829527239	67927239
-1	1528829538255	67938255
-1	1528829549271	67949271
-1	1528829560287	67960287
-1	1528829571302	67971302
-1	1528829582320	67982320
-1	1528829593338	67993338
-1	1528829604358	68004358
-1	1528829615381	68015381
-1	1528829626402	68026402
-1	1528829637419	68037419
-1	1528829648432	68048432
-1	1528829659450	68059450
-1	1528829670480	68070480
-1	1528829681507	68081507
-1	1528829692525	68092525
-1	1528829703550	68103550
-1	1528829714580	68114580
-1	1528829725595	68125595
-1	1528829736623	68136623
-1	1528829747654	68147654
-1	1528829758679	68158679
-1	1528829769697	68169697
-1	1528829780716	68180716
-1	1528829791736	68191736
-1	1528829802767	68202767
-1	1528829813802	68213802
-1	1528829824822	68224822
-1	1528829835845	68235845
-1	1528829846873	68246873
-1	1528829857899	68257899
-1	1528829868928	68268928
-1	1528829879957	68279957
-1	1528829890990	68290990
-1	1528829902012	68302012
-1	1528829913034	68313034
-1	1528829924058	68324058
-1	1528829935084	68335084
-1	1528829946112	68346112
-1	1528829957148	68357148
-1	1528829968174	68368174
-1	1528829979200	68379200
-1	1528829990223	68390223
-1	1528830001250	68401250
-1	1528830012286	68412286
-1	1528830023313	68423313
-1	1528830034353	68434353
-1	1528830045380	68445380
-1	1528830056408	68456408
-1	1528830067430	68467430
-1	1528830078463	68478463
-1	1528830089486	68489486
-1	1528830100519	68500519
-1	1528830111548	68511548
-1	1528830122567	68522567
-1	1528830133599	68533599
-1	1528830144624	68544624
-1	1528830155648	68555648
-1	1528830166673	68566673
-1	1528830177714	68577714
-1	1528830188737	68588737
-1	1528830199753	68599753
-1	1528830210775	68610775
-1	1528830221796	68621796
-1	1528830232834	68632834
-1	1528830243858	68643858
-1	1528830254886	68654886
-1	1528830265909	68665909
-1	1528830276931	68676931
-1	1528830287964	68687964
-1	1528830298994	68698994
-1	1528830310020	68710020
-1	1528830321059	68721059
-1	1528830332087	68732087
-1	1528830343108	68743108
-1	1528830354137	68754137
-1	1528830365159	68765159
-1	1528830376188	68776188
-1	1528830387209	68787209
-1	1528830398243	68798243
-1	1528830409278	68809278
-1	1528830420317	68820317
-1	1528830431349	68831349
