# PING	cisco.com
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
122.654	1528829334012	67734012
120.905	1528829339145	67739145
122.696	1528829344283	67744283
123.166	1528829349417	67749417
123.854	1528829354557	67754557
122.166	1528829359693	67759693
126.578	1528829364833	67764833
122.266	1528829369968	67769968
122.661	1528829375102	67775102
121.304	1528829380232	67780232
131.307	1528829385379	67785379
121.669	1528829390512	67790512
130.928	1528829395651	67795651
123.277	1528829400784	67800784
122.639	1528829405921	67805921
122.640	1528829411057	67811057
122.623	1528829416187	67816187
123.480	1528829421319	67821319
121.670	1528829426453	67826453
125.597	1528829431586	67831586
123.688	1528829436726	67836726
123.626	1528829441864	67841864
122.291	1528829447000	67847000
123.305	1528829452140	67852140
122.708	1528829457274	67857274
123.683	1528829462408	67862408
122.817	1528829467539	67867539
122.403	1528829472672	67872672
125.223	1528829477810	67877810
123.642	1528829482946	67882946
124.666	1528829488081	67888081
123.473	1528829493219	67893219
139.663	1528829498372	67898372
139.148	1528829503525	67903525
122.776	1528829508656	67908656
123.738	1528829513795	67913795
122.604	1528829518932	67918932
124.684	1528829524072	67924072
122.755	1528829529210	67929210
122.098	1528829534346	67934346
125.745	1528829539484	67939484
122.547	1528829544620	67944620
122.248	1528829549757	67949757
122.772	1528829554891	67954891
124.295	1528829560028	67960028
-1	1528829571039	67971039
123.774	1528829576178	67976178
122.555	1528829581313	67981313
124.231	1528829586451	67986451
123.643	1528829591588	67991588
122.400	1528829596724	67996724
122.830	1528829601860	68001860
122.796	1528829606998	68006998
129.874	1528829612155	68012155
123.360	1528829617294	68017294
121.687	1528829622432	68022432
123.463	1528829627571	68027571
122.276	1528829632709	68032709
123.045	1528829637848	68037848
122.491	1528829642984	68042984
124.760	1528829648122	68048122
122.029	1528829653254	68053254
121.233	1528829658390	68058390
122.863	1528829663524	68063524
123.308	1528829668660	68068660
122.590	1528829673802	68073802
124.580	1528829678942	68078942
125.238	1528829684085	68084085
124.569	1528829689226	68089226
124.430	1528829694363	68094363
124.297	1528829699500	68099500
124.260	1528829704641	68104641
126.294	1528829709779	68109779
122.713	1528829714912	68114912
123.647	1528829720046	68120046
122.919	1528829725180	68125180
121.096	1528829730315	68130315
123.415	1528829735456	68135456
121.653	1528829740596	68140596
122.941	1528829745734	68145734
121.866	1528829750875	68150875
126.078	1528829756014	68156014
123.526	1528829761148	68161148
122.699	1528829766283	68166283
122.529	1528829771423	68171423
125.750	1528829776568	68176568
205.624	1528829781791	68181791
122.460	1528829786922	68186922
123.562	1528829792057	68192057
122.380	1528829797197	68197197
122.035	1528829802335	68202335
123.491	1528829807479	68207479
125.458	1528829812621	68212621
122.723	1528829817757	68217757
123.842	1528829822895	68222895
122.347	1528829828037	68228037
122.164	1528829833179	68233179
122.866	1528829838316	68238316
122.852	1528829843458	68243458
124.633	1528829848602	68248602
