# PING	dropbox.com
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
10.396	1528829333907	67733907
10.442	1528829338931	67738931
10.247	1528829343958	67743958
10.294	1528829348979	67748979
9.938	1528829354001	67754001
10.152	1528829359023	67759023
10.199	1528829364041	67764041
11.186	1528829369063	67769063
10.441	1528829374082	67774082
20.108	1528829379118	67779118
10.442	1528829384138	67784138
9.818	1528829389165	67789165
9.626	1528829394194	67794194
10.425	1528829399216	67799216
10.991	1528829404238	67804238
10.020	1528829409271	67809271
10.496	1528829414291	67814291
10.050	1528829419313	67819313
9.427	1528829424335	67824335
10.480	1528829429355	67829355
10.182	1528829434377	67834377
10.440	1528829439395	67839395
11.606	1528829444438	67844438
10.229	1528829449459	67849459
9.579	1528829454476	67854476
9.878	1528829459497	67859497
9.946	1528829464518	67864518
9.387	1528829469541	67869541
9.563	1528829474566	67874566
9.877	1528829479588	67879588
9.806	1528829484616	67884616
10.259	1528829489639	67889639
9.204	1528829494663	67894663
17.162	1528829499696	67899696
9.852	1528829504715	67904715
10.179	1528829509752	67909752
10.890	1528829514777	67914777
30.412	1528829519825	67919825
9.978	1528829524852	67924852
15.239	1528829529881	67929881
30.671	1528829534928	67934928
9.627	1528829539950	67939950
9.435	1528829544972	67944972
10.491	1528829549997	67949997
9.676	1528829555020	67955020
10.723	1528829560039	67960039
32.308	1528829565087	67965087
9.719	1528829570108	67970108
9.873	1528829575131	67975131
10.233	1528829580173	67980173
18.434	1528829585206	67985206
10.283	1528829590224	67990224
10.597	1528829595244	67995244
9.836	1528829600266	68000266
9.740	1528829605290	68005290
10.962	1528829610310	68010310
9.940	1528829615336	68015336
9.813	1528829620356	68020356
9.799	1528829625382	68025382
10.036	1528829630407	68030407
9.588	1528829635428	68035428
10.639	1528829640450	68040450
10.412	1528829645476	68045476
10.259	1528829650501	68050501
10.120	1528829655525	68055525
10.012	1528829660551	68060551
9.640	1528829665572	68065572
9.929	1528829670599	68070599
10.920	1528829675630	68075630
9.962	1528829680659	68080659
9.942	1528829685683	68085683
11.319	1528829690709	68090709
9.270	1528829695733	68095733
10.805	1528829700755	68100755
11.251	1528829705779	68105779
10.617	1528829710825	68110825
9.740	1528829715851	68115851
10.560	1528829720879	68120879
10.905	1528829725901	68125901
10.291	1528829730931	68130931
9.053	1528829735958	68135958
9.997	1528829740976	68140976
10.704	1528829746004	68146004
9.887	1528829751032	68151032
10.262	1528829756057	68156057
10.289	1528829761094	68161094
11.960	1528829766124	68166124
10.682	1528829771154	68171154
10.119	1528829776196	68176196
10.558	1528829781227	68181227
9.490	1528829786253	68186253
11.101	1528829791284	68191284
12.664	1528829796311	68196311
10.236	1528829801341	68201341
10.393	1528829806368	68206368
10.721	1528829811398	68211398
11.894	1528829816439	68216439
10.505	1528829821465	68221465
11.052	1528829826496	68226496
11.244	1528829831519	68231519
