# PING	facebook.com
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
26.683	1528829333886	67733886
27.321	1528829338928	67738928
27.035	1528829343968	67743968
27.113	1528829349004	67749004
28.210	1528829354045	67754045
28.028	1528829359089	67759089
26.352	1528829364129	67764129
27.118	1528829369165	67769165
28.397	1528829374209	67774209
27.113	1528829379248	67779248
27.173	1528829384290	67784290
27.785	1528829389331	67789331
40.079	1528829394383	67794383
26.398	1528829399425	67799425
114.854	1528829404552	67804552
27.863	1528829409590	67809590
28.244	1528829414626	67814626
28.274	1528829419666	67819666
27.322	1528829424706	67824706
28.867	1528829429749	67829749
24.492	1528829434788	67834788
24.890	1528829439827	67839827
25.099	1528829444868	67844868
25.838	1528829449905	67849905
25.074	1528829454941	67854941
25.729	1528829459980	67859980
24.377	1528829465019	67865019
24.776	1528829470055	67870055
25.061	1528829475089	67875089
24.473	1528829480124	67880124
24.163	1528829485164	67885164
25.327	1528829490203	67890203
24.716	1528829495241	67895241
43.794	1528829500299	67900299
26.516	1528829505337	67905337
26.117	1528829510375	67910375
25.204	1528829515413	67915413
24.050	1528829520452	67920452
27.295	1528829525493	67925493
25.940	1528829530526	67930526
26.105	1528829535567	67935567
34.020	1528829540617	67940617
38.628	1528829545671	67945671
24.456	1528829550707	67950707
35.596	1528829555757	67955757
35.514	1528829560805	67960805
26.967	1528829565847	67965847
34.037	1528829570893	67970893
44.089	1528829575952	67975952
25.148	1528829580990	67980990
26.415	1528829586033	67986033
41.151	1528829591087	67991087
28.473	1528829596130	67996130
25.235	1528829601169	68001169
36.019	1528829606216	68006216
24.575	1528829611256	68011256
24.917	1528829616296	68016296
32.796	1528829621341	68021341
24.408	1528829626379	68026379
24.936	1528829631432	68031432
24.642	1528829636472	68036472
26.118	1528829641510	68041510
40.771	1528829646567	68046567
24.558	1528829651606	68051606
23.795	1528829656637	68056637
26.160	1528829661677	68061677
26.293	1528829666717	68066717
24.764	1528829671760	68071760
39.714	1528829676813	68076813
42.284	1528829681872	68081872
49.706	1528829686933	68086933
47.036	1528829691999	68091999
26.475	1528829697039	68097039
24.602	1528829702078	68102078
25.095	1528829707125	68107125
24.828	1528829712167	68112167
26.828	1528829717209	68117209
24.955	1528829722246	68122246
24.635	1528829727289	68127289
25.335	1528829732333	68132333
26.394	1528829737380	68137380
25.136	1528829742420	68142420
26.053	1528829747464	68147464
26.163	1528829752503	68152503
24.433	1528829757546	68157546
25.043	1528829762585	68162585
24.735	1528829767621	68167621
24.572	1528829772672	68172672
25.885	1528829777711	68177711
24.509	1528829782748	68182748
25.628	1528829787786	68187786
24.767	1528829792823	68192823
25.025	1528829797867	68197867
25.388	1528829802905	68202905
24.303	1528829807942	68207942
25.631	1528829812989	68212989
24.122	1528829818027	68218027
25.576	1528829823063	68223063
25.002	1528829828107	68228107
24.706	1528829833145	68233145
