# PING	google.com
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
10.966	1528829333864	67733864
10.188	1528829338901	67738901
9.762	1528829343923	67743923
9.982	1528829348948	67748948
9.248	1528829353971	67753971
9.864	1528829358996	67758996
9.729	1528829364016	67764016
8.332	1528829369033	67769033
10.451	1528829374057	67774057
19.024	1528829379090	67779090
8.603	1528829384118	67784118
8.220	1528829389148	67789148
9.941	1528829394174	67794174
8.537	1528829399196	67799196
10.061	1528829404223	67804223
9.022	1528829409249	67809249
9.816	1528829414278	67814278
10.206	1528829419297	67819297
9.130	1528829424320	67824320
9.889	1528829429341	67829341
9.365	1528829434362	67834362
9.234	1528829439383	67839383
8.801	1528829444407	67844407
10.404	1528829449430	67849430
9.028	1528829454453	67854453
10.540	1528829459483	67859483
9.198	1528829464506	67864506
11.230	1528829469532	67869532
9.073	1528829474556	67874556
8.066	1528829479577	67879577
10.397	1528829484603	67884603
10.883	1528829489630	67889630
10.317	1528829494681	67894681
19.348	1528829499715	67899715
8.540	1528829504734	67904734
9.962	1528829509759	67909759
9.483	1528829514780	67914780
27.780	1528829519826	67919826
9.411	1528829524848	67924848
13.705	1528829529873	67929873
29.805	1528829534915	67934915
10.189	1528829539940	67939940
9.887	1528829544966	67944966
9.953	1528829549990	67949990
10.366	1528829555014	67955014
9.881	1528829560036	67960036
27.913	1528829565079	67965079
9.354	1528829570104	67970104
8.651	1528829575123	67975123
8.727	1528829580146	67980146
16.906	1528829585181	67985181
11.744	1528829590205	67990205
9.506	1528829595229	67995229
8.787	1528829600251	68000251
8.995	1528829605276	68005276
9.735	1528829610298	68010298
9.335	1528829615323	68015323
9.053	1528829620348	68020348
9.944	1528829625371	68025371
9.536	1528829630396	68030396
9.000	1528829635414	68035414
9.885	1528829640438	68040438
9.541	1528829645460	68045460
10.294	1528829650484	68050484
9.642	1528829655509	68055509
9.023	1528829660534	68060534
8.411	1528829665552	68065552
8.962	1528829670582	68070582
10.495	1528829675612	68075612
9.870	1528829680643	68080643
9.748	1528829685667	68085667
9.524	1528829690692	68090692
10.101	1528829695710	68095710
10.882	1528829700732	68100732
8.880	1528829705761	68105761
10.139	1528829710782	68110782
10.041	1528829715811	68115811
9.796	1528829720836	68120836
10.258	1528829725865	68125865
9.485	1528829730891	68130891
8.510	1528829735907	68135907
8.754	1528829740924	68140924
9.015	1528829745953	68145953
8.604	1528829750976	68150976
9.737	1528829756003	68156003
9.785	1528829761029	68161029
9.271	1528829766055	68166055
9.661	1528829771083	68171083
10.322	1528829776113	68176113
10.172	1528829781136	68181136
9.519	1528829786166	68186166
10.386	1528829791189	68191189
12.012	1528829796217	68196217
11.120	1528829801245	68201245
9.554	1528829806273	68206273
9.178	1528829811301	68211301
9.686	1528829816327	68216327
9.722	1528829821353	68221353
9.295	1528829826378	68226378
9.715	1528829831409	68231409
