# PING	nintendo.com
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
-1	1528829339874	67739874
173.432	1528829345059	67745059
155.372	1528829350229	67750229
147.243	1528829355389	67755389
146.292	1528829360550	67760550
146.240	1528829365707	67765707
153.542	1528829370874	67770874
-1	1528829381944	67781944
-1	1528829392962	67792962
-1	1528829403981	67803981
-1	1528829414998	67814998
-1	1528829426015	67826015
-1	1528829437036	67837036
-1	1528829448052	67848052
-1	1528829459097	67859097
-1	1528829470123	67870123
-1	1528829481202	67881202
-1	1528829492221	67892221
-1	1528829503238	67903238
-1	1528829514257	67914257
-1	1528829525274	67925274
-1	1528829536309	67936309
-1	1528829547326	67947326
-1	1528829558343	67958343
-1	1528829569362	67969362
-1	1528829580381	67980381
-1	1528829591399	67991399
-1	1528829602433	68002433
-1	1528829613449	68013449
-1	1528829624469	68024469
-1	1528829635485	68035485
-1	1528829646504	68046504
-1	1528829657524	68057524
-1	1528829668564	68068564
-1	1528829679584	68079584
-1	1528829690611	68090611
-1	1528829701642	68101642
-1	1528829712673	68112673
-1	1528829723743	68123743
-1	1528829734772	68134772
-1	1528829745799	68145799
-1	1528829756821	68156821
-1	1528829767844	68167844
-1	1528829778877	68178877
-1	1528829789906	68189906
-1	1528829800934	68200934
-1	1528829811965	68211965
-1	1528829822988	68222988
-1	1528829834026	68234026
-1	1528829845054	68245054
-1	1528829856077	68256077
-1	1528829867126	68267126
-1	1528829878157	68278157
-1	1528829889186	68289186
-1	1528829900214	68300214
-1	1528829911243	68311243
-1	1528829922269	68322269
-1	1528829933301	68333301
145.998	1528829938492	68338492
148.499	1528829943658	68343658
147.661	1528829948816	68348816
146.030	1528829953974	68353974
146.744	1528829959135	68359135
147.174	1528829964295	68364295
146.357	1528829969455	68369455
147.912	1528829974616	68374616
146.326	1528829979774	68379774
147.254	1528829984943	68384943
145.900	1528829990107	68390107
146.968	1528829995266	68395266
148.898	1528830000430	68400430
146.135	1528830005592	68405592
147.732	1528830010751	68410751
-1	1528830021804	68421804
-1	1528830032841	68432841
-1	1528830043866	68443866
-1	1528830054891	68454891
-1	1528830065915	68465915
-1	1528830076950	68476950
-1	1528830087964	68487964
-1	1528830099022	68499022
-1	1528830110050	68510050
-1	1528830121147	68521147
146.732	1528830126334	68526334
147.451	1528830131496	68531496
145.984	1528830136659	68536659
147.458	1528830141825	68541825
147.738	1528830146987	68546987
147.189	1528830152148	68552148
147.188	1528830157307	68557307
146.834	1528830162463	68562463
146.422	1528830167626	68567626
145.804	1528830172790	68572790
147.475	1528830177953	68577953
147.722	1528830183122	68583122
146.802	1528830188281	68588281
147.436	1528830193442	68593442
147.054	1528830198603	68598603
-1	1528830209655	68609655
-1	1528830220677	68620677
