# PING	ruby-doc.org
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
115.504	1528829333985	67733985
115.145	1528829339116	67739116
115.295	1528829344242	67744242
115.212	1528829349372	67749372
116.188	1528829354500	67754500
114.718	1528829359627	67759627
116.775	1528829364760	67764760
117.289	1528829369890	67769890
115.517	1528829375021	67775021
117.952	1528829380150	67780150
126.302	1528829385288	67785288
114.813	1528829390418	67790418
123.947	1528829395558	67795558
116.341	1528829400688	67800688
116.177	1528829405819	67805819
116.184	1528829410950	67810950
117.935	1528829416082	67816082
116.264	1528829421208	67821208
116.355	1528829426335	67826335
116.754	1528829431464	67831464
115.591	1528829436596	67836596
116.642	1528829441719	67841719
116.573	1528829446845	67846845
115.881	1528829451971	67851971
116.084	1528829457101	67857101
116.787	1528829462231	67862231
117.563	1528829467362	67867362
116.305	1528829472491	67872491
116.922	1528829477623	67877623
115.990	1528829482753	67882753
116.241	1528829487882	67887882
124.059	1528829493020	67893020
126.030	1528829498157	67898157
196.674	1528829503368	67903368
116.403	1528829508500	67908500
157.465	1528829513674	67913674
117.599	1528829518803	67918803
115.718	1528829523932	67923932
117.667	1528829529066	67929066
120.867	1528829534197	67934197
115.711	1528829539323	67939323
116.736	1528829544454	67944454
114.686	1528829549584	67949584
117.720	1528829554714	67954714
117.711	1528829559845	67959845
123.591	1528829564980	67964980
115.210	1528829570110	67970110
116.239	1528829575241	67975241
129.374	1528829580383	67980383
197.120	1528829585594	67985594
115.559	1528829590724	67990724
132.951	1528829595870	67995870
116.148	1528829600998	68000998
119.562	1528829606128	68006128
115.506	1528829611260	68011260
116.742	1528829616390	68016390
135.869	1528829621538	68021538
116.303	1528829626667	68026667
117.113	1528829631799	68031799
114.948	1528829636928	68036928
117.099	1528829642060	68042060
115.106	1528829647189	68047189
139.763	1528829652344	68052344
133.886	1528829657493	68057493
117.080	1528829662626	68062626
116.496	1528829667755	68067755
115.669	1528829672888	68072888
116.385	1528829678016	68078016
116.975	1528829683148	68083148
116.589	1528829688278	68088278
116.575	1528829693410	68093410
115.943	1528829698548	68098548
116.043	1528829703684	68103684
116.812	1528829708819	68108819
116.892	1528829713956	68113956
116.998	1528829719087	68119087
117.979	1528829724219	68124219
116.343	1528829729349	68129349
115.729	1528829734485	68134485
116.805	1528829739620	68139620
115.136	1528829744748	68144748
116.534	1528829749877	68149877
116.730	1528829755011	68155011
116.928	1528829760139	68160139
150.546	1528829765304	68165304
115.731	1528829770442	68170442
116.230	1528829775571	68175571
117.383	1528829780704	68180704
116.359	1528829785836	68185836
116.495	1528829790963	68190963
116.999	1528829796095	68196095
115.224	1528829801230	68201230
119.091	1528829806366	68206366
116.205	1528829811500	68211500
115.814	1528829816630	68216630
114.727	1528829821760	68221760
117.222	1528829826894	68226894
116.281	1528829832029	68232029
117.670	1528829837162	68237162
116.648	1528829842299	68242299
