# PING	twitch.tv
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
9.290	1528829333883	67733883
9.976	1528829338908	67738908
10.006	1528829343935	67743935
9.816	1528829348959	67748959
8.707	1528829353981	67753981
9.843	1528829359006	67759006
9.171	1528829364023	67764023
8.894	1528829369043	67769043
9.209	1528829374065	67774065
18.469	1528829379096	67779096
8.643	1528829384123	67784123
9.747	1528829389151	67789151
9.062	1528829394177	67794177
8.814	1528829399202	67799202
10.426	1528829404231	67804231
9.337	1528829409256	67809256
10.064	1528829414285	67814285
9.417	1528829419301	67819301
9.478	1528829424324	67824324
9.444	1528829429346	67829346
8.954	1528829434368	67834368
9.153	1528829439389	67839389
9.593	1528829444413	67844413
9.024	1528829449437	67849437
9.035	1528829454459	67854459
9.145	1528829459484	67859484
8.913	1528829464511	67864511
9.766	1528829469538	67869538
9.712	1528829474564	67874564
9.318	1528829479585	67879585
9.903	1528829484613	67884613
9.058	1528829489635	67889635
9.321	1528829494661	67894661
14.582	1528829499691	67899691
8.796	1528829504709	67904709
9.493	1528829509733	67909733
9.704	1528829514760	67914760
24.635	1528829519792	67919792
8.542	1528829524815	67924815
8.962	1528829529841	67929841
30.521	1528829534890	67934890
10.646	1528829539912	67939912
10.092	1528829544934	67944934
8.956	1528829549959	67949959
9.296	1528829554982	67954982
10.798	1528829560004	67960004
23.805	1528829565043	67965043
8.948	1528829570067	67970067
11.084	1528829575090	67975090
10.772	1528829580116	67980116
11.895	1528829585139	67985139
8.811	1528829590162	67990162
10.639	1528829595184	67995184
9.643	1528829600209	68000209
10.220	1528829605236	68005236
8.896	1528829610260	68010260
10.368	1528829615286	68015286
10.108	1528829620310	68020310
9.432	1528829625349	68025349
11.120	1528829630375	68030375
8.273	1528829635391	68035391
11.565	1528829640416	68040416
10.150	1528829645440	68045440
10.367	1528829650467	68050467
9.989	1528829655488	68055488
10.887	1528829660517	68060517
9.270	1528829665537	68065537
11.837	1528829670564	68070564
9.841	1528829675595	68075595
9.625	1528829680622	68080622
10.554	1528829685644	68085644
10.623	1528829690673	68090673
9.846	1528829695691	68095691
9.993	1528829700715	68100715
9.065	1528829705745	68105745
10.582	1528829710773	68110773
10.757	1528829715795	68115795
10.642	1528829720822	68120822
9.997	1528829725848	68125848
11.376	1528829730875	68130875
9.141	1528829735898	68135898
9.521	1528829740920	68140920
8.999	1528829745949	68145949
9.998	1528829750973	68150973
9.894	1528829756001	68156001
10.726	1528829761027	68161027
9.517	1528829766052	68166052
11.022	1528829771080	68171080
8.957	1528829776103	68176103
11.790	1528829781127	68181127
9.916	1528829786151	68186151
13.578	1528829791180	68191180
11.517	1528829796209	68196209
8.234	1528829801234	68201234
11.464	1528829806263	68206263
9.559	1528829811286	68211286
12.002	1528829816317	68216317
12.845	1528829821346	68221346
10.945	1528829826377	68226377
8.626	1528829831405	68231405
