# PING	yahoo.com
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
110.111	1528829333971	67733971
109.890	1528829339095	67739095
109.714	1528829344219	67744219
110.918	1528829349342	67749342
111.226	1528829354464	67754464
109.604	1528829359589	67759589
111.086	1528829364711	67764711
113.001	1528829369839	67769839
111.833	1528829374962	67774962
109.803	1528829380083	67780083
118.418	1528829385216	67785216
108.815	1528829390341	67790341
113.573	1528829395465	67795465
109.138	1528829400589	67800589
110.880	1528829405715	67805715
110.700	1528829410841	67810841
110.424	1528829415963	67815963
110.563	1528829421085	67821085
110.920	1528829426212	67826212
109.760	1528829431333	67831333
110.127	1528829436455	67836455
110.002	1528829441575	67841575
108.991	1528829446696	67846696
110.656	1528829451820	67851820
109.956	1528829456942	67856942
110.832	1528829462067	67862067
109.602	1528829467191	67867191
111.361	1528829472317	67872317
109.781	1528829477442	67877442
110.132	1528829482567	67882567
110.406	1528829487692	67887692
111.134	1528829492819	67892819
115.005	1528829497948	67897948
124.561	1528829503087	67903087
110.655	1528829508209	67908209
108.768	1528829513332	67913332
110.572	1528829518461	67918461
110.629	1528829523593	67923593
109.093	1528829528714	67928714
109.688	1528829533835	67933835
111.961	1528829538961	67938961
112.133	1528829544086	67944086
110.825	1528829549211	67949211
111.669	1528829554334	67954334
110.170	1528829559457	67959457
109.982	1528829564579	67964579
110.013	1528829569704	67969704
110.304	1528829574830	67974830
109.374	1528829579952	67979952
111.164	1528829585076	67985076
109.499	1528829590195	67990195
112.033	1528829595320	67995320
120.101	1528829600451	68000451
110.459	1528829605574	68005574
110.511	1528829610699	68010699
110.378	1528829615824	68015824
110.379	1528829620945	68020945
117.652	1528829626077	68026077
173.587	1528829631263	68031263
109.969	1528829636386	68036386
110.729	1528829641510	68041510
110.399	1528829646634	68046634
110.235	1528829651759	68051759
110.098	1528829656883	68056883
116.620	1528829662015	68062015
122.614	1528829667152	68067152
126.905	1528829672292	68072292
107.118	1528829677419	68077419
110.762	1528829682550	68082550
110.790	1528829687681	68087681
108.068	1528829692810	68092810
125.976	1528829697947	68097947
125.766	1528829703088	68103088
109.556	1528829708218	68108218
112.792	1528829713349	68113349
112.075	1528829718473	68118473
110.354	1528829723595	68123595
111.248	1528829728722	68128722
112.946	1528829733849	68133849
111.538	1528829738972	68138972
111.607	1528829744105	68144105
110.919	1528829749228	68149228
109.623	1528829754358	68154358
109.921	1528829759483	68159483
108.887	1528829764605	68164605
109.709	1528829769733	68169733
112.340	1528829774866	68174866
109.468	1528829779988	68179988
110.512	1528829785109	68185109
111.054	1528829790240	68190240
111.485	1528829795372	68195372
110.975	1528829800496	68200496
111.473	1528829805624	68205624
109.968	1528829810745	68210745
111.135	1528829815876	68215876
110.516	1528829821003	68221003
111.610	1528829826133	68226133
110.270	1528829831255	68231255
111.404	1528829836384	68236384
109.955	1528829841512	68241512
