# PING	youtube.com
# Started at: 2018-06-12T19:48:53+01:00
# duration(ms)	epoch(ms)	timeFromDayStart(ms)
10.075	1528829333865	67733865
8.910	1528829338904	67738904
9.644	1528829343928	67743928
9.724	1528829348952	67748952
8.260	1528829353974	67753974
8.489	1528829358998	67758998
8.932	1528829364019	67764019
10.479	1528829369037	67769037
9.754	1528829374060	67774060
20.312	1528829379094	67779094
11.832	1528829384117	67784117
9.139	1528829389140	67789140
16.959	1528829394172	67794172
8.426	1528829399201	67799201
8.854	1528829404225	67804225
8.704	1528829409252	67809252
10.949	1528829414281	67814281
9.909	1528829419298	67819298
10.087	1528829424328	67824328
9.260	1528829429349	67829349
8.952	1528829434373	67834373
8.895	1528829439391	67839391
9.616	1528829444416	67844416
9.527	1528829449443	67849443
9.534	1528829454463	67854463
9.399	1528829459486	67859486
9.780	1528829464509	67864509
8.460	1528829469534	67869534
10.174	1528829474561	67874561
10.139	1528829479583	67879583
9.262	1528829484608	67884608
9.372	1528829489632	67889632
10.523	1528829494657	67894657
13.776	1528829499687	67899687
10.307	1528829504708	67904708
10.803	1528829509730	67909730
10.333	1528829514754	67914754
23.676	1528829519791	67919791
10.860	1528829524813	67924813
10.763	1528829529838	67929838
-1	1528829540860	67940860
9.870	1528829545883	67945883
8.781	1528829550903	67950903
30.540	1528829555949	67955949
10.631	1528829560973	67960973
10.187	1528829565999	67965999
25.163	1528829571037	67971037
11.215	1528829576060	67976060
8.755	1528829581083	67981083
9.658	1528829586105	67986105
14.329	1528829591132	67991132
9.976	1528829596153	67996153
9.536	1528829601178	68001178
21.596	1528829606214	68006214
9.311	1528829611236	68011236
9.672	1528829616258	68016258
16.742	1528829621289	68021289
10.592	1528829626309	68026309
10.042	1528829631330	68031330
10.433	1528829636356	68036356
11.141	1528829641380	68041380
20.175	1528829646415	68046415
10.348	1528829651437	68051437
10.416	1528829656459	68056459
9.995	1528829661484	68061484
10.984	1528829666516	68066516
9.693	1528829671538	68071538
8.448	1528829676557	68076557
10.445	1528829681584	68081584
10.566	1528829686606	68086606
29.648	1528829691651	68091651
10.060	1528829696676	68096676
10.441	1528829701702	68101702
9.950	1528829706730	68106730
10.170	1528829711752	68111752
9.305	1528829716776	68116776
9.698	1528829721802	68121802
9.896	1528829726823	68126823
11.005	1528829731848	68131848
10.878	1528829736873	68136873
10.643	1528829741900	68141900
11.726	1528829746925	68146925
12.201	1528829751951	68151951
11.087	1528829756970	68156970
10.301	1528829762001	68162001
7.902	1528829767027	68167027
9.502	1528829772049	68172049
11.777	1528829777075	68177075
11.140	1528829782102	68182102
9.167	1528829787126	68187126
9.076	1528829792151	68192151
11.350	1528829797175	68197175
10.797	1528829802207	68202207
11.067	1528829807234	68207234
10.702	1528829812266	68212266
10.077	1528829817291	68217291
9.798	1528829822316	68222316
11.143	1528829827344	68227344
9.726	1528829832373	68232373
10.176	1528829837405	68237405
